month,long_ticker,short_ticker,cluster,mom1_diff
2017-12-01,GE,ITW,4,0.17390684886183205
2017-12-01,GE,BA,4,0.17132585736921246
2017-12-01,ETN,CAT,5,0.06025903130515309
2017-12-01,ETN,EMR,5,0.034572483668519394
2017-12-01,EMR,CAT,5,0.025686547636633694
2017-12-01,COF,JPM,6,0.036301303059329104
2017-12-01,COF,BAC,6,0.030293730962701604
2017-12-01,COF,MS,6,0.029604768708202167
2017-12-01,TSLA,AMZN,7,0.13276930664859254
2017-12-01,META,AMZN,7,0.08065701644616807
2017-12-01,TSLA,GOOGL,7,0.07113617827732954
2017-12-01,CL,PG,8,0.013913382961036058
2017-12-01,KO,PEP,9,0.06061155322946066
2017-12-01,VZ,T,10,0.01798560971092078
2017-12-01,TMO,UNH,11,0.09473045767007093
2017-12-01,ABT,UNH,11,0.04966861328355865
2017-12-01,TMO,ABT,11,0.045061844386512284
2017-12-01,LLY,ABBV,12,0.03444294209671783
2017-12-01,XOM,CVX,13,0.02799463478406361
2017-12-01,SLB,COP,14,0.01264966521507871
2017-12-01,KMI,OKE,15,0.018390937735786927
2017-12-01,PPL,SRE,16,0.05358610976060596
2017-12-01,SO,DUK,17,0.02783317708021915
2017-12-01,SO,EIX,17,0.024490977537826808
2017-12-01,EIX,DUK,17,0.0033421995423923434
2018-01-01,AAPL,MSFT,0,0.03145738974688017
2018-01-01,SBUX,MSFT,0,0.023039737309696662
2018-01-01,AAPL,SBUX,0,0.00841765243718351
2018-01-01,CSCO,INTC,1,0.0026577270867462754
2018-01-01,GE,BA,2,0.10469148675095374
2018-01-01,MMM,BA,2,0.09732707358347026
2018-01-01,GE,RTX,2,0.08978984791499844
2018-01-01,ETN,CAT,3,0.10052220766932085
2018-01-01,ETN,EMR,3,0.05930566723826458
2018-01-01,EMR,CAT,3,0.04121654043105627
2018-01-01,MS,BAC,4,0.03129081971462422
2018-01-01,JPM,BAC,4,0.024770453348603283
2018-01-01,GS,BAC,4,0.019305994413261196
2018-01-01,AMZN,GOOGL,5,0.022817262586764975
2018-01-01,META,GOOGL,5,0.02069439595824285
2018-01-01,AMZN,TSLA,5,0.0139547654161708
2018-01-01,PG,CL,6,0.02043171607797034
2018-01-01,KO,PEP,7,0.02677444242178506
2018-01-01,VZ,T,8,0.028646067304907374
2018-01-01,GILD,ABT,9,0.047894585082618346
2018-01-01,UNH,ABT,9,0.046319260370691895
2018-01-01,GILD,JNJ,9,0.0383226998195253
2018-01-01,ABBV,LLY,10,4.5125501939580204e-05
2018-01-01,XOM,CVX,11,0.04781727407948333
2018-01-01,COP,SLB,12,0.001791704567577268
2018-01-01,OKE,KMI,13,0.01894619651507523
2018-01-01,PPL,SRE,14,0.03673348344076399
2018-01-01,AEP,NEE,15,0.04063623625595614
2018-01-01,EIX,DUK,16,0.1576860301735793
2018-01-01,EIX,SO,16,0.1537231043914934
2018-01-01,SO,DUK,16,0.003962925782085902
2018-02-01,SBUX,MSFT,0,0.121522027497448
2018-02-01,AAPL,MSFT,0,0.12131331159798919
2018-02-01,SBUX,AAPL,0,0.0002087158994588112
2018-02-01,MCD,NKE,1,0.09654613451070182
2018-02-01,TMUS,NKE,1,0.06565835627025973
2018-02-01,MCD,TMUS,1,0.030887778240442088
2018-02-01,META,AMZN,2,0.18153204215867635
2018-02-01,GOOGL,AMZN,2,0.11834996501090367
2018-02-01,TSLA,AMZN,2,0.10265937795031221
2018-02-01,INTC,CSCO,3,0.04975094527155255
2018-02-01,GE,BA,4,0.2751627439519103
2018-02-01,GE,BLK,4,0.16714065176820336
2018-02-01,ITW,BA,4,0.16076266824005803
2018-02-01,EMR,ETN,5,0.02635256579733669
2018-02-01,CAT,ETN,5,0.02502555925335348
2018-02-01,EMR,CAT,5,0.0013270065439832113
2018-02-01,COF,WFC,6,0.04022293965772805
2018-02-01,GS,JPM,7,0.03545598255040483
2018-02-01,GS,BAC,7,0.03234110332648621
2018-02-01,GS,MS,7,0.03090026665775314
2018-02-01,CVX,XOM,8,0.04260104567987755
2018-02-01,EOG,SLB,9,0.02440112760655677
2018-02-01,COP,SLB,9,0.02036895836555641
2018-02-01,EOG,COP,9,0.004032169241000361
2018-02-01,KMI,OKE,10,0.11383313023731723
2018-02-01,PG,KO,11,0.09044835307339516
2018-02-01,PG,PEP,11,0.05646412721676397
2018-02-01,CL,KO,11,0.04825406504530483
2018-02-01,T,VZ,12,0.05579284074504254
2018-02-01,UNH,TMO,13,0.10636958063623592
2018-02-01,ABT,TMO,13,0.08609182204566945
2018-02-01,UNH,ABT,13,0.020277758590566464
2018-02-01,PFE,GILD,14,0.1471380848366033
2018-02-01,SRE,PPL,15,0.028715081712000323
2018-02-01,DUK,NEE,16,0.08093124748210412
2018-02-01,AEP,NEE,16,0.07934327241747763
2018-02-01,SO,NEE,16,0.07621242673450979
2018-03-01,MSFT,AAPL,0,0.07673631497968392
2018-03-01,SBUX,AAPL,0,0.0577109171317467
2018-03-01,MSFT,SBUX,0,0.01902539784793722
2018-03-01,MCD,NKE,1,0.05496492198250702
2018-03-01,TMUS,NKE,1,0.05148531351455232
2018-03-01,MCD,TMUS,1,0.003479608467954698
2018-03-01,META,AMZN,2,0.08828498074196234
2018-03-01,TSLA,AMZN,2,0.07418094061820957
2018-03-01,META,TSLA,2,0.01410404012375277
2018-03-01,INTC,CSCO,3,0.0472246485875234
2018-03-01,GE,BA,4,0.14742436994928754
2018-03-01,GE,RTX,4,0.10197319877485611
2018-03-01,GE,BLK,4,0.09816598069580229
2018-03-01,CAT,EMR,5,0.04050552583245437
2018-03-01,ETN,EMR,5,0.029446908112104153
2018-03-01,CAT,ETN,5,0.011058617720350217
2018-03-01,WFC,USB,6,0.058087495661896305
2018-03-01,COF,BAC,7,0.057190631925921775
2018-03-01,COF,JPM,7,0.052774701595673545
2018-03-01,COF,MS,7,0.04457281110531586
2018-03-01,MDT,ABBV,8,0.10195360112932494
2018-03-01,TMO,ABBV,8,0.10149023116635547
2018-03-01,GILD,ABBV,8,0.0926004143073994
2018-03-01,KO,CL,9,0.02080035734446961
2018-03-01,PG,CL,9,0.019577930645052866
2018-03-01,PEP,CL,9,0.016892581893713232
2018-03-01,VZ,T,10,0.0850097389814296
2018-03-01,XOM,CVX,11,0.025268246803083705
2018-03-01,EOG,COP,12,0.046527186676761034
2018-03-01,SLB,COP,12,0.029982799232713075
2018-03-01,EOG,SLB,12,0.01654438744404796
2018-03-01,KMI,OKE,13,0.05622102018846664
2018-03-01,PPL,SRE,14,0.11922071786519173
2018-03-01,PEG,SRE,14,0.08439432715264916
2018-03-01,PPL,DUK,14,0.07221587631582516
2018-04-01,AAPL,SBUX,0,0.07191737014389299
2018-04-01,MSFT,SBUX,0,0.04045310243629452
2018-04-01,AAPL,MSFT,0,0.03146426770759847
2018-04-01,NKE,TMUS,1,0.01286270858963856
2018-04-01,CSCO,INTC,2,0.09883755080070444
2018-04-01,BA,BLK,3,0.0860456815428341
2018-04-01,BA,ITW,3,0.06984193673576333
2018-04-01,MMM,BLK,3,0.05916030858279231
